ts,chain,cycle,legs,dexes,gross_pct,opt_usd,net_usd,executable,win
2026-06-20T12:24:49.328776+00:00,base,USDT→AERO→USDC→EURC→USDT,4,uniswap/aerodrome/equalizer/pancakeswap,12.6557,1.0,-0.3466,0,0
2026-06-20T12:24:49.328776+00:00,aptos,USDC→APT→USDC,2,liquidswap/pancakeswap,162.9387,8.25,5.1092,0,0
2026-06-20T12:26:26.696008+00:00,solana,JITOSOL→JTO→JITOSOL,2,orca/meteora,0.4204,1.0,-0.0147,0,0
2026-06-20T12:26:26.696008+00:00,base,USDT→AERO→USDC→EURC→USDT,4,uniswap/aerodrome/equalizer/pancakeswap,12.6557,1.0,-0.3466,0,0
2026-06-20T12:26:26.696008+00:00,aptos,USDC→APT→USDC,2,liquidswap/pancakeswap,162.9387,8.25,5.1092,0,0
2026-06-20T12:28:04.576163+00:00,solana,JITOSOL→JTO→JITOSOL,2,orca/meteora,0.4204,1.0,-0.0147,0,0
2026-06-20T12:28:04.576163+00:00,base,USDT→AERO→USDC→EURC→USDT,4,uniswap/aerodrome/equalizer/pancakeswap,12.6557,1.0,-0.3466,0,0
2026-06-20T12:28:04.576163+00:00,aptos,USDC→APT→USDC,2,liquidswap/pancakeswap,162.9387,8.25,5.1092,0,0
2026-06-20T12:29:42.053778+00:00,solana,JITOSOL→JTO→JITOSOL,2,orca/meteora,0.4204,1.0,-0.0147,0,0
2026-06-20T12:29:42.053778+00:00,base,USDT→AERO→USDC→EURC→USDT,4,uniswap/aerodrome/equalizer/pancakeswap,12.6557,1.0,-0.3466,0,0
2026-06-20T12:29:42.053778+00:00,aptos,USDC→APT→USDC,2,liquidswap/pancakeswap,162.9387,8.25,5.1092,0,0
