t0,chain,token,entry_spread_pct,lo_dex,hi_dex,min_tvl,whale,n_samples,n_pos_after_entry,best_net_pct,actionable
2026-06-20T17:44:30.454595+00:00,solana,FO,0.634,meteora,meteora,2504969,0,9,0,-0.0262,0
2026-06-20T17:44:30.454595+00:00,solana,PUMP,0.3704,orca,pumpswap,437939,1,9,0,-1.0435,0
2026-06-20T17:46:07.234529+00:00,solana,JUP,0.8828,meteora,meteora,410779,1,8,1,0.6608,0
2026-06-20T17:46:07.234529+00:00,solana,SOL,0.6659,orca,meteora,691841,1,8,0,-0.146,0
2026-06-20T17:49:21.040323+00:00,solana,USDG,0.6193,orca,orca,3384107,0,6,3,12.3697,1
2026-06-20T17:52:34.540252+00:00,solana,MET,0.9973,meteora,meteora,760738,1,4,1,0.0339,0
2026-06-20T17:44:30.454595+00:00,base,WEETH,0.9496,aerodrome,aerodrome,384518,0,9,0,-0.5922,0
2026-06-20T17:46:07.234529+00:00,base,AERO,1.1723,aerodrome,aerodrome,929911,1,8,0,-0.0035,0
2026-06-20T17:46:07.234529+00:00,base,CBBTC,0.8734,uniswap,aerodrome,430165,1,8,0,-0.4025,0
2026-06-20T17:46:07.234529+00:00,base,VIRTUAL,0.702,uniswap,aerodrome,888227,1,8,0,-0.2163,0
2026-06-20T17:46:07.234529+00:00,base,WETH,0.6596,hydrex,0x03C01Acae3D0173a93d819efDc832C7C4F153B06,387540,1,8,0,-0.6723,0
2026-06-20T19:01:36.363214+00:00,solana,SOL,3.692,raydium,pumpswap,552392,1,8,1,0.1472,0
2026-06-20T19:01:36.363214+00:00,solana,JUP,2.4402,meteora,meteora,410779,0,8,3,0.966,1
2026-06-20T19:01:36.363214+00:00,base,CBBTC,1.0289,uniswap,aerodrome,430165,1,8,0,-0.3307,0
2026-06-20T19:03:16.851794+00:00,base,VIRTUAL,0.9376,uniswap,aerodrome,416188,1,7,0,-0.1158,0
2026-06-20T19:04:56.942825+00:00,base,WETH,0.34,uniswap,uniswap,728247,1,6,0,-0.7017,0
2026-06-20T19:08:18.078536+00:00,base,AERO,0.3345,aerodrome,uniswap,361705,1,4,0,-0.3879,0
2026-06-20T20:20:34.609720+00:00,solana,SOL,1.5196,raydium,raydium,566016,1,6,1,0.3124,0
2026-06-20T20:20:34.609720+00:00,solana,MET,1.0381,meteora,meteora,260677,1,6,0,-0.0022,0
2026-06-20T20:20:34.609720+00:00,base,CBBTC,1.1252,uniswap,aerodrome,430165,1,6,0,-0.3265,0
2026-06-20T20:20:34.609720+00:00,base,WETH,0.3837,uniswap,0x03C01Acae3D0173a93d819efDc832C7C4F153B06,387446,1,6,0,-1.1403,0
2026-06-20T20:25:31.198858+00:00,base,AERO,0.5968,aerodrome,aerodrome,907594,1,3,0,-0.0369,0
2026-06-20T21:47:21.567084+00:00,solana,USDG,9.9791,orca,orca,3531237,1,3,0,-0.552,0
2026-06-20T21:44:08.503097+00:00,solana,POPCAT,0.5631,raydium,raydium,566997,0,7,0,-0.6207,0
2026-06-20T21:47:21.567084+00:00,sui,USDC,0.3549,turbos-finance,cetus,261544,1,7,0,-1.1469,0
2026-06-20T21:44:08.503097+00:00,solana,FARTCOIN ,0.4946,raydium,orca,775596,0,9,0,-0.4387,0
2026-06-20T21:44:08.503097+00:00,solana,JUP,0.4369,meteora,orca,288664,1,9,0,-0.5523,0
2026-06-20T21:45:45.028055+00:00,solana,MET,1.6358,meteora,meteora,256520,0,8,1,0.145,0
2026-06-20T21:44:08.503097+00:00,base,ETH,1.4113,uniswap,uniswap,355308,0,9,1,0.5462,0
2026-06-20T21:44:08.503097+00:00,base,WSTETH,0.7168,aerodrome,aerodrome,585116,0,9,0,-0.1763,0
2026-06-20T21:44:08.503097+00:00,base,CBETH,0.5715,alien-base,hydrex,254163,0,9,0,-1.0796,0
2026-06-20T21:44:08.503097+00:00,base,VIRTUAL,0.3491,uniswap,aerodrome,504207,1,9,0,-0.8937,0
2026-06-20T21:45:45.028055+00:00,base,CBBTC,0.8687,uniswap,aerodrome,430165,1,8,0,-0.3008,0
